,âú,è„â∫,â°,,,,âú,è„â∫,â°,,HP
Name,Scale,,,Rot,å∏ÇÁÇµÇΩÇÁîΩéûåvâÒÇË,,Pos,,,,
StageFloor,100,1,10,0,0,0,30,-2,0,â∫,
StageFloor,100,1,10,0,0,0,30,4,0,è„,
StageWall,112,5,2,0,-59.7,0,24,1,-4.5,ç∂,
StageWall,100,5,2,0,0,0,30,1,5,âE,
,1,5,12,0,84.8,0,-100,1,0,,
StageFloor,50,1,10,0,99,0,-24,-2,20,,
,50,1,10,0,99,0,-70,-2,-0.5,,
StageWall,50,7,2,0,99,0,-29,0,19,,
,100,7,2,0,80,0,-70,0,-0.5,,
Pillar,50,7,2,0,99,0,-29,0,19,,
FallingRock,1,2,1,0,0,0,-5,3,0,,
,,,,,,,,,,,
Wall,1,10,10,0,0,0,-5,1,0,,1
Wall,1,10,10,0,0,0,-13,1,0,,3
Wall,1,10,10,0,0,0,-21,1,0,,2
Wall,1,10,10,0,0,0,-29,1,0,,4
Wall,1,10,10,0,0,0,-37,1,0,,4
